Твитнуть;Самоубийство
я хочу быть художником;Не суицидный пост
Моя дорога Коули EP был переиздан на iTunes! Если у вас его нет, приобретите!;Не суицидный пост
КАК Я ТОЛЬКО ОТКАЗАЛСЯ СПАТЬ, Я ДАЖЕ НЕ ПЫТАЛСЯ БОЛЬШЕ, Я НЕНАВИЖУ СЕБЯ, ЧЕРТ.;Пост о потенциальном самоубийстве
как оно готовит? с нетерпением жду возможности попробовать позже.;Не суицидный пост
200 слов закончилось, а написать еще больше, отстой. буррито к чаю;Не суицидный пост
наш телефон;Не суицидный пост
В этот день — 12 ноября 1976 года. Queen выпускает сингл Somebody to Love.;Пост о потенциальном самоубийстве
Чертовски холодно © я ненавижу работать в 4 утра, если я подписался на  я сделал это с собой, черт возьми;Пост о потенциальном самоубийстве
Давно пора! Тебе всегда следует слушать свою мудрую подругу Кейт. Она самая крутая!;Не суицидный пост
«Я не хочу умирать. Но, знаешь, ни в чем нельзя быть уверенным. И я устал молчать».  ;Пост о потенциальном самоубийстве
Через месяц мы будем в самолете, направляющемся в НьюЙорк!!;Не суицидный пост
я просто не хочу больше здесь находиться;Пост о потенциальном самоубийстве
".youtube.comTitomi15..СМОТРИТЕ ВИДЕО, КОММЕНТИРУЙТЕ И ПОДПИСЫВАЙТЕСЬ!! ; СЛЕДУЙТЕ за мной, Привет х";Не суицидный пост
Айова №2 в счастье! Да!;Не суицидный пост
Черт возьми, я ненавижу себя, рн;Пост о потенциальном самоубийстве
Извините, я бы ответил раньше, НО пролистывал мою замечательную новую книгу идей;Не суицидный пост
Я хочу, чтобы было известно, что если ктонибудь из моих корешей когдалибо в своей жизни почувствует себя так, будто вы совсем одиноки или просто устали жить. Я техасец...;Пост о потенциальном самоубийстве
эй! дела идут хорошо – с нетерпением жду встречи с вами и  в Вашингтоне!;Не суицидный пост
я устал пытаться быть счастливым. это никогда не помогало, и мои родители никогда не одобряли это. это значит, что я должен прекратить все, что делает меня счастливым. и, честно говоря, я больше не хочу пытаться. Я просто буду сидеть здесь и терпеть неудачу, и продолжать терпеть неудачу, пока однажды смерть наконец не обрушится на меня.;Пост о потенциальном самоубийстве
tr.im делают это с Намбу, bit.ly делают это с T;Не суицидный пост
Быть одинокой мамой никогда не входило в мои планы, но я просыпаюсь каждый день и занимаюсь своим дерьмом...;Пост о потенциальном самоубийстве
проснулся всего два часа, но хотел бы снова заснуть;Не суицидный пост
это потрясающе! Я видел его на Бродвее в оригинальном составе.;Не суицидный пост
ты снова пыхтел этим драконом, да?;Не суицидный пост
Да, очевидно, я единственный в Национальном вольере, кто отвечает на телефонные звонки.;Не суицидный пост
Стакан наполовину полонстакан наполовину пуст Эта команда  действительно очень хороша. Если вы выбираете Sports Reference, «просто»;Не суицидный пост
Думаю, пора выключиться и пойти спать, это был большой день! Спокойной ночи всем;Не суицидный пост
Ну, должен сказать, твои комментарии даже заставили меня подумать, что его волосы выглядят довольно сексуально, поэтому я сомневаюсь, что у нее есть шанс устоять;Не суицидный пост
| Бартомеу «Сегодня он отмечает еще две награды в своей легендарной карьере пятую награду бомбардира Пичичи и награду Ди Ста…;Не суицидный пост
Нет, ты меня только что поймал, ура, я уверен, что поймаю. Надеюсь, солнышко поддержит тебя;Не суицидный пост
Я выбрал CSI, так как мой третий эпизод «Кукольного домика» нуждался в повторной загрузке! Как только это будет сделано, я смогу посмотреть это, а затем все остальное.;Не суицидный пост
только что прекрасно обнимался с Тали Девой;Не суицидный пост
пришла домой из спортзала и собирается весь день сидеть на попе;Не суицидный пост
...собираюсь на четырехмильную ночную пробежку.... вокруг старого бомбардировщика B52 на Андерсене. надо заклеить лодыжки!;Не суицидный пост
Все временно. ЗЛЫЕ ГЛАЗА ОТ ШИВРИТА;Не суицидный пост
Мне сказали, что немного того, что тебе нравится, пойдет на пользу;Не суицидный пост
после болезни снова на работе;Не суицидный пост
Я проснулся, чувствуя себя прекрасно.;Не суицидный пост
ему не все надоело.;Не суицидный пост
привет;Не суицидный пост
"Не расстраивайтесь, оно того не стоит. Кроме того, если они сделают это с достаточным количеством людей, их аккаунты не будут такими популярными ;)";Не суицидный пост
мы только что сфотографировались с моим парнем. вот что это такое;Не суицидный пост
Ах, это не то же самое, что и в старые времена, когда он с оранжевым лицом еще был здесь.;Не суицидный пост
лол, ладно, это не пиздец;Не суицидный пост
Жить в квартале может быть очень тяжело. Я устал терять людей изза насилия. Я не сдамся! ;Пост о потенциальном самоубийстве
Я хочу убить себя, я действительно хочу, блядь, убить себя, я закончил;Пост о потенциальном самоубийстве
«Ой, ктонибудь, убейте меня, пожалуйста!;Пост о потенциальном самоубийстве
Да, действительно. С большим количеством взбитых сливок;Не суицидный пост
я опустошен, я сосредоточен на школе и работе, но с каждым днем ​​я чувствую себя все хуже и хуже, прошлой ночью я напился до потери сознания, это не помогло мне почувствовать себя еще хуже, я знаю, что мое одиночество происходит в основном из моих сознательных решений, не могу жить с людьми, не могу жить без них единственная причина, по которой я еще не покончил с собой, это то, что я боюсь боли;Пост о потенциальном самоубийстве
Рад слышать, что ты переключаешься. Вы не будете разочарованы;Не суицидный пост
я хочу, черт возьми, убить себя;Пост о потенциальном самоубийстве
Пожалуйста, сделайте репост моей доски Weed G.!!! Самый крутой мультфильм для взрослых.  Я устал переживать худшие времена в своей жизни, пожалуйста… ;Пост о потенциальном самоубийстве
Сходить в булочную, купить вкусняшек;Не суицидный пост
убирает. начнется заново.;Не суицидный пост
Награды будут зачислены на ваш счет Huobi в течение 3 рабочих дней.;Не суицидный пост
Стюарт доказательство?;Не суицидный пост
«Куриный» стиль может включать в себя, а может и не включать в себя обещания, которые ДРУГИЕ люди должны выполнить... здесь нет таких проблем;Не суицидный пост
Так держать, ты молодец!;Не суицидный пост
niiiceee;Не суицидный пост
сегодня я чуть не покончил с собой, потому что меня чуть не сбила машина, слава богу.;Не суицидный пост
Сэр, пожалуйста, скажите, уместно ли уважаемому премьерминистру сказать «Дайте мне 50 дней, и если ситуация не улучшится, сожгите меня заживо». Если да, то любой может сказать, что приходи, мы тебя сожжем. Если нет, то я не видел, чтобы ктото отказался от этой линии.;Пост о потенциальном самоубийстве
Ужасно устал от всего. Я просто хочу умереть.;Пост о потенциальном самоубийстве
Я схожу с ума, когда злюсь, это так ужасно, мне нужно так сильно над этим поработать, прежде чем я в конечном итоге сделаю чтото такое, фу…;Пост о потенциальном самоубийстве
ПОЗДРАВЛЯЕМ ДЭЙВА!! Наслаждайтесь маленьким! ххх;Не суицидный пост
доброе утро;Не суицидный пост
вкусный старбакс!;Не суицидный пост
Смерть меня пугает, и я не готов умирать;Пост о потенциальном самоубийстве
Я ненавижу оставаться одна. Потому что все, черт возьми, музыкальное видео;Пост о потенциальном самоубийстве
я раньше ходил в старбакс;Не суицидный пост
Джин в последнее время ведет себя немного странно. Когда я рассказал ему о том, что Лепер хочет спрыгнуть с дерева и присоединиться к Супе… ;Пост о потенциальном самоубийстве
Я, как обычно, пил и плакал всю ночь напролет, узнав, что мой бывший трахает девушку в его постели, поэтому я попытался убить… ;Пост о потенциальном самоубийстве
ВАУ, потрясающие фотки!!;Не суицидный пост
смерть не может быть намного хуже мне 22 года, мужчина, моя девушка ушла, я слишком долго задерживаюсь в офисе, потому что не могу справиться с рабочей нагрузкой, друзей нет, ненавижу мою семью, и они ненавидят меня, я просто хочу умереть, я не вижу никого другой вариант на данный момент;Пост о потенциальном самоубийстве
Ненавижу тот факт, что я чертовски почти вынужден во всем разбираться сам, но это необходимо сделать.;Пост о потенциальном самоубийстве
Доброе утро...доброе утро.доброго утра;Не суицидный пост
я собираюсь посмотреть T.M. 2 c, что они сказали о Твиттере, твое шоу сегодня утром было блестящим, как всегда  Кэти х;Не суицидный пост
Вот моя последняя мелодия   Оставьте комментарий, пожалуйста.;Не суицидный пост
Следите за этим местом. Пока не уверен, насколько это жизнеспособно. Хотя возможно;Не суицидный пост
с Джейком ),  Я отчаянно и всем сердцем больше не хочу здесь оставаться.;Пост о потенциальном самоубийстве
Я тоже. Я хочу устроить вечеринку с друзьями, то есть со всеми! Хаха.;Не суицидный пост
прямолинейная и честная девушка, которая просто хочет позаботиться о своей семье, и страстный мальчик, мечтающий о своем существовании… ;Не суицидный пост
еще не покончил с собой, думаю, этим можно гордиться, у меня был пистолет, но мой сосед по комнате нашел его, планируя найти одинокий мост, чтобы покончить с этим, мне действительно нужен смысл жить, но я никак не могу его найти;Пост о потенциальном самоубийстве
"Фото  — чернобелое. и ооочень старый. мы зовем его Герберт, лол. Я люблю его, он как живая легенда. должен любить Берлин ;3";Не суицидный пост
лол. .tv.com — ваш ДРУГ!;Не суицидный пост
это не будет плохо еще как минимум две недели.;Не суицидный пост
Том Чаплин женись на мне, пожалуйста. я таю изза тебя, хахаха.. о, и pearshapebodygirl перестала со мной разговаривать! ДА!;Не суицидный пост
"Я пытаюсь приготовить булочки с горячим крестом с Беллой и amp; Ари";Не суицидный пост
это краткое изложение того, что произошло на специальном рождественском вечере, когда все они в хаосе, у нас все еще есть Майл Пхакпхум Ромсайтонг, который во всем очень спокоен;Не суицидный пост
О, он только что комуто ответил... Сегодня днем ​​Дуги ответил довольно многим людям, так что кто знает... кроме того, это весело!;Не суицидный пост
мне 16, и я так сильно ненавижу себя, у меня очень мало друзей, я интроверт, никогда не было девушки, над которой часто издевались и часто отвергали, пожалуйста, помогите мне, я хочу покончить с собой, это избавит меня от всего этого, я не заслуживаю быть на этой земле так как я пишу на бумаге заметки о том, какой я никчемный и глупый, я хочу стать кемто в ITсфере, но я все равно слишком глуп, чтобы туда попасть, а для работы в наши дни нужны общительные люди, и я не один из них, у меня никогда не было девушки раньше, и я хочу иметь вопервых, потому что быть девственником  это плохо, и я никогда не смогу жить с этим чувством, если у меня не будет друзей или девушки, когда я стану взрослой, я планирую покончить жизнь самоубийством, пожалуйста, помогите мне, спасибо за чтение;Пост о потенциальном самоубийстве
Lincoln, NE,  Мне жаль, если я действительно хочу, чтобы моя жизнь закончилась, извини, я пила целую неделю подряд, извини, но трудно сказать, что все будет хорошо…;Пост о потенциальном самоубийстве
чувак, я НЕНАВИЖУ себя, горячий парень, которого я НИКОГДА НЕ УВИЖУ, говорит мне ОДНУ ВЕЩЬ, и мне, черт возьми, это было бы мило… ;Пост о потенциальном самоубийстве
Это заставляет меня ненавидеть себя, и я ни черта не сделал;Пост о потенциальном самоубийстве
да, я обдумываю все в своей жизни, а затем заставляю себя поверить в эти вещи. я просто разочаровываюсь или испытываю стресс, тьфу;Пост о потенциальном самоубийстве
привет, милая, добро пожаловать в твиттер;Не суицидный пост
Это пугает мой мальчик;Не суицидный пост
я ушел ненадолго, этот последний месяц был худшим 3 недели назад я пошел на свидание с парнем, а потом пошел к нему домой, и он пытался заставить меня пойти дальше, чем я хотел, я боялся даже тусоваться с парень, так как на следующий день меня уволили с работы, я провел всю оставшуюся неделю в одиночестве, заполняя заявление о приеме на работу, которое не помогло мне с депрессией, на следующей неделе у меня начались некоторые проблемы, я пошел сдать анализы и обнаружил, что заразился гонореей от парень, который пытался меня заставить пошел на ужин в дом друзей, и мою машину отбуксировали, поэтому я должен маме 150 долларов за это. В тот день на прошлой неделе я чуть не совершил попытку самоубийства, а на прошлой неделе я начал работать, но получу только частичную зарплату изза того, когда я начал и мне сейчас 75 лет по моему банковскому счету, и я задолжал счета, поэтому я не знаю, насколько этот чек поможет, во мне просто больше не осталось борьбы;Пост о потенциальном самоубийстве
Мой.;Не суицидный пост
Завтра будет ОТЛИЧНО!  Хотя, если меня съест динозавр, я виню Софи.;Не суицидный пост
Мне надоело, что люди тратят столько энергии на то, чтобы срать на кораблях, но они не делают того же, чтобы помочь живому… ;Пост о потенциальном самоубийстве
люблю кредитный кризис;Не суицидный пост
Это уже так! По крайней мере, во Франции не умирают и не теряют все, когда заболевают. есть хотя бы 1… ;Пост о потенциальном самоубийстве
это было одно из блюд Хью в Eastern Standard, но я определенно планирую приготовить его в будущем.;Не суицидный пост
бог написал, что я только что это напечатал;Не суицидный пост
единственная причина, по которой я не покончил с собой, это потому, что я боюсь, что это станет еще хуже или застрянет в виде призрака или еще чегото в этом роде, как бы сильно я ни хотел жить и действительно хочу, я просто не могу вынести боли реальности, в которой нахожусь или то, как люди относятся ко мне;Пост о потенциальном самоубийстве
МИЛЛИОНЕР из трущоб! МОЙ БОГ. Или новый Джеймс Паттерсон.;Не суицидный пост
Привет, ребята, дома смотрю телевизор;Не суицидный пост
не следует влюбляться в парня (с милой улыбкой) только потому, что он спросил мой номер... хм...;Не суицидный пост
Оу, это очень мило с твоей стороны, я надеюсь, что ты вернешься в Великобританию, было бы здорово увидеть тебя снова xxx;Не суицидный пост
Эх... где тут поругаться... мы все здесь каваны. Верно или нет, ?;Не суицидный пост
Стало жарко, как в упорные дни, тяжело отдыхающие на уставших цветах.;Пост о потенциальном самоубийстве
я просто не хочу больше здесь находиться;Пост о потенциальном самоубийстве
Так что я потратил кучу денег на Джоанну, черт побери. Ненавижу, что делаю это с собой, но мне нравится делать всякое дерьмо;Пост о потенциальном самоубийстве
эти чертовы очки для 3Dкино... Я ненавижу себя;Пост о потенциальном самоубийстве
готовлюсь к смерти, отпустив все, мне осталось отпустить еще одну вещь не пытаться заставить людей паниковать и пытаться спасти меня, как будто они могут просто чувствовать себя хорошо, быть гдето настоящими и делиться тем, что происходит, интересно, получится ли это ктото другой чувствует себя менее одиноким, возможно, только я;Пост о потенциальном самоубийстве
Моя 13летняя дочь получила передозировку примерно 6 граммов велбутрина и 1500 мг золофта. Я очень стараюсь исправить ситуацию. Ее доставили по воздуху в детскую больницу, и теперь она лежит на больничной койке, не реагируя, и ее мышцы дергаются, это было самый страшный день в моей жизни, этот ребенок  это весь мой мир, она  все, что у меня есть, я вкладываю все свое сердце и душу в ее воспитание, я никогда не хочу потерять эту маленькую девочку, но я здесь, она ей скоро будет 14, она немного эксцентрична, но у нее золотое сердце, она никогда не встречала незнакомца, но с начала 8го класса над ней издеваются, и учителя ничего с этим не делают, это была она способ справиться с ситуацией сегодня утром я пошел разбудить ее в школу и обнаружил, что она вся в рвоте, у нее были галлюцинации и приступы в течение нескольких часов, наверное, что, если бы я ее не нашел, почему она чувствует, что это единственный способ, которым я хочу заставить все плохое уйти, как мне это сделать, как мне помочь ей справиться, я не знал, к кому обратиться;Пост о потенциальном самоубийстве
Директор моей группы только что сказал «Как сказал бы король Джулиан, не играйте как анютины глазки!» РЖУ НЕ МОГУ;Не суицидный пост
я всю свою жизнь был уродливым, тьфу, это несправедливо, я хочу быть милым хотя бы один период моей несчастной жизни.;Пост о потенциальном самоубийстве
Я так устал от всего. Пожалуйста, просто дай мне умереть;Пост о потенциальном самоубийстве
хаха, ну, для меня это состояние никогда не бывает постоянным (оффлайн);Не суицидный пост
только что вспомнил, ты имеешь в виду финансовую презентацию? Да, я посмотрю дома и отправлю тебе сегодня письмо.;Не суицидный пост
Мне нужна работа, которая связана с укреплением психического здоровья, но я думаю, что зарабатывать на этом деньги — это так грязно ¤·ââï¸â ;Пост о потенциальном самоубийстве
эти мысли о самоубийстве становятся все громче;Пост о потенциальном самоубийстве
Я не знаю, что делать. Я так стараюсь, чтобы жизнь работала. Чтобы прожить жизнь. Мой муж буквально отказывается брать… ;Пост о потенциальном самоубийстве
КотаКинабалу и ДжохорБару,   честно говоря, это боль, я не хочу больше здесь находиться.;Пост о потенциальном самоубийстве
я хочу умереть. я не заслуживаю ни кусочка чеголибо. я никому не принадлежу. мне все надоело. те же люди...;Пост о потенциальном самоубийстве
Я согласен со всем, кроме Бенни. Я устал от него. Его персонаж скучен и должен умереть. IJS ;Пост о потенциальном самоубийстве
не делай этого, Тим — он будет сниться тебе ночью, но только если ты потратишь более 300 фунтов и воспользуешься скидкой 15 %, которую он отправил на прошлой неделе.;Не суицидный пост
оу, я горжусь тем, что отвечаю тебе первым и что я взял на себя твои обновления, хаха;Не суицидный пост
любит солнце, но расстроена, что не может пойти на пикник в четверг;Не суицидный пост
С днем ​​рождения !;Не суицидный пост
пожалуйста, ктонибудь, придите, убей меня, я так ЛЮБЛЮ!!!!! ;Пост о потенциальном самоубийстве
Я устал жить в мире;Пост о потенциальном самоубийстве
Я увидела на Pinterest цитату, в которой говорилось «Когда я предстану перед Богом в конце своей жизни, я надеюсь, что у меня не будет ни единого биения…;Пост о потенциальном самоубийстве
Я не смог тебя ударить? Я ненавижу, когда это происходит. Я ненавижу себя, когда делаю это. Но я делаю это постоянно. ;Пост о потенциальном самоубийстве
– Мне так нравится мое великолепное рабочее место;Не суицидный пост
Спасибо;Не суицидный пост
здесь 1555 ДОБРОЕ УТРО!;Не суицидный пост
я не в безопасности с самим собой, я уже некоторое время был склонен к суициду. Я предпринял 4 попытки в этом году, но, похоже, никто этого не понял. Честно говоря, я не могу сказать, собираюсь ли я покончить с собой сегодня, я продолжаю плакать и не знаю, почему я ненавижу себя;Пост о потенциальном самоубийстве
Я стал намного счастливее и счастливее. лучше без тебя, слабый, фальшивый отстой  оставь меня в покое, ты мне всё равно не нужен   ;Пост о потенциальном самоубийстве
Спасибо!;Не суицидный пост
ЧТО? Вам просто необходимо разместить это на сайте. Знаете, потому что мы, блоггеры, ОБОЖАЕМ бесплатный WiFi! Потрясающий.;Не суицидный пост
думаю, так и есть, но не совсем близко;Не суицидный пост
Это могло быть неловко! По крайней мере, вы вспомнили об этом сегодня, а не об этом завтра! Маленькие милости!;Не суицидный пост
У меня было предчувствие, что это будет отличный день, и я встретился с Джоном Стоктоном перед игрой.;Не суицидный пост
да, я тоже;Не суицидный пост
Я сейчас слушаю Шопена в темноте;Не суицидный пост
Каждый раз, когда в последнее время мне снится мама, такое ощущение, будто она еще жива и никогда не уходила , но опять же… ;Пост о потенциальном самоубийстве
R.I.P  Я мало что о тебе знал, но ты выручал в трудные времена, ты не заслуживал смерти в такую…;Пост о потенциальном самоубийстве
в этот момент я ненавижу чувства, я думаю, что цепляюсь за жизнь, ожидая подходящего стечения обстоятельств, чтобы просто отпустить мои чувства, которые продолжают сдерживать меня, я ненавижу их, я ненавижу чувствовать, что ненавижу каждого из них, в этом есть чтото утешающее идея несуществования чтото успокаивающее в идее ничего, я жажду этого;Пост о потенциальном самоубийстве
извините людей, которые не токсичны и хотят дружить.;Пост о потенциальном самоубийстве
НП? Ржу не могу. хммм, Дэнни и Джордан присоединятся? Дэнни, возможно, Джордан, я надеюсь, что нет.;Не суицидный пост
кодеин ативан лекарства от сна алкоголь скажи мне, почему мне не следует этого делать, я безнадежен, я готов сдаться;Пост о потенциальном самоубийстве
я собираюсь покончить с собой на этих выходных я не вижу смысла оставаться в живых ничего не изменилось настолько, чтобы заставить меня захотеть остаться меня изнасиловали в детстве и теперь для людей я являюсь только сексуальным объектом, всем пока;Пост о потенциальном самоубийстве
влюбился;Не суицидный пост
Если люди не хотят твоей смерти, можешь ли ты вообще утверждать, что действительно жив?;Пост о потенциальном самоубийстве
я хочу стать бизнесменом в будущем;Не суицидный пост
мафумафу «О ЧЁРТ, О БОЖЕ» *с трудом хватает всё, что не взял с собой*…;Пост о потенциальном самоубийстве
Да, здесь все еще холодно, но на этой неделе температура должна вернуться к нормальной. На этой неделе проведу немного времени с девчонками!;Не суицидный пост
Вторник в великом мегаполисе Ганновере... что может быть лучше;Не суицидный пост
Длинный. Жить. Жизнь;Не суицидный пост
Я знаю, ты думаешь, что тебе грустно, что «Ковбои» сегодня не играют. Но любой день, когда ваша команда не может проиграть, — это событие, которое стоит отпраздновать.;Не суицидный пост
Я набрала вес. Я одна из тех людей, которых все ненавидят, которые могут похудеть на диете из тортов и печенья.;Не суицидный пост
мой ребенок уже устал.;Не суицидный пост
зубная паста??? Если вы используете отбеливающее средство, отбеливатель сожжет слой кожи.;Не суицидный пост
вопервых, спасибо, вовторых, кайтраннер исторически не работает?;Не суицидный пост
ЭТО ОТСТОЙ, ЧЕЛОВЕК, Я ДЕЙСТВИТЕЛЬНО НЕ ЗНАЮ, ЧТО Я СОБИРАЮСЬ БОЛЬШЕ ДЕЛАТЬ НЕОБЫЧНЫЕ РЕШЕНИЯ ПОСЛЕ опрометчивых решений. НИКАКОГО КОНТРОЛЯ… ;Пост о потенциальном самоубийстве
я просто в беспорядке, у меня кончились лекарства, и у меня не было ни сил, ни энергии, чтобы их пополнить. Я сегодня ходил на занятия, а в итоге сидел на тротуаре, ужасно плакал и заставлял людей думать, что я чертов сумасшедший, все, что я делаю, это сплю и я никогда не чувствую себя отдохнувшим, я один в новом городе, и у меня нет друзей, и все, что я хочу, это ктото посидеть со мной и поговорить, я зависаю там, потому что я привел своих кошек сюда, в это странное место, и я не могу просто уйти им думать, что их бросили я только что вздремнул три часа, и все, что у меня было, это головная боль, и я все еще устал, у меня нет чистого белья, моя комната  полный пиздец, я несколько дней не причесывался и не ел, и вместо того, чтобы делать то, что нужно, я лежу здесь, пытаясь избежать навязчивости Мысли о причинении себе вреда, я ленив и ужасен, и я не могу заставить себя остановить это;Пост о потенциальном самоубийстве
Сегодня днём мы с Майки приедем домой в восторге от медведей, а завтра Элтон Тауэрс.;Не суицидный пост
Я посмотрел две серии «Ривердейла» и чертовски ненавижу себя, потому что теперь у меня нет данных ;Пост о потенциальном самоубийстве
ну, это впечатляет. Оба места 25 и 26 ;Не суицидный пост
я так устал жить;Пост о потенциальном самоубийстве
Завтра мне нужно пойти в банк и посмотреть, что, черт возьми, происходит. Около 3 недель назад у меня были проблемы с би… ;Пост о потенциальном самоубийстве
да, классные книжные полки. У меня есть та, на которой к стене приколоты разные книги.;Не суицидный пост
хватит бесстыдной книжной затычки;Не суицидный пост
почему я так легко привязываюсь, это единственное, что я ненавижу в себе больше всего, в конечном итоге я все время становлюсь своим злейшим врагом;Пост о потенциальном самоубийстве
я просто не хочу больше здесь находиться;Пост о потенциальном самоубийстве
спасибо , по какойто причине не могу дождаться, чтобы вернуться домой с работы сегодня вечером;Не суицидный пост
Вредные привычки труднее выявить в вашей трудовой жизни.  вдохновение  рост ;Не суицидный пост
с другой стороны, почти каникулы.... кемпинг D D D;Не суицидный пост
Устал от всего. Не могу дождаться смерти.;Пост о потенциальном самоубийстве
беспокойство о здоровье, вызывающее плохие мысли в голове. Я уже 2 месяца страдаю от некоторых проблем со здоровьем, будучи 26летним мужчиной, мой пессимистичный характер просто заставляет меня думать о худшем, мои руки и ноги в настоящее время покалывают и жгут, я просто продолжаю представлять я нахожусь в инвалидной коляске, являюсь обузой для моей семьи, подруги и так далее. Мне в голову приходят мысли о самоубийстве, поскольку я предпочитаю внезапно положить всему конец, вместо того, чтобы день за днем ​​ухудшаться, теряя двигательные и когнитивные функции, жизнь и так тяжела, и сейчас мое здоровье впервые ухудшается;Пост о потенциальном самоубийстве
друг, которого я знал онлайн вчера вечером, наконецто добавил меня в свой мессенджер.;Не суицидный пост
Левен, Шотландия, больше не хочу здесь находиться;Пост о потенциальном самоубийстве
ты видел эту ссылку? Я думаю, тебе это может понравиться ;Не суицидный пост
Жилбыл молодой человек, которому надоело оставаться в этом мире. Они назвали это живым миром, но он не платит… ;Пост о потенциальном самоубийстве
