Твитнуть,Самоубийство
эти мысли о самоубийстве становятся все громче,Пост о потенциальном самоубийстве
"Я не знаю, что делать. Я так стараюсь, чтобы жизнь работала. Чтобы прожить жизнь. Мой муж буквально отказывается брать… https://t.co/3m3ULoIJ1b",Пост о потенциальном самоубийстве
"@_zannahthatsme, Кота-Кинабалу и Джохор-Бару, RT @Tendrx: честно говоря, это боль, я не хочу больше здесь находиться.",Пост о потенциальном самоубийстве
RT @breathingo: я хочу умереть. я не заслуживаю ни кусочка чего-либо. я никому не принадлежу. мне все надоело. те же люди...,Пост о потенциальном самоубийстве
"@AnitaHarrell19 @PeterParros Я согласен со всем, кроме Бенни. Я устал от него. Его персонаж скучен и должен умереть. IJS ð",Пост о потенциальном самоубийстве
"@timelkington, не делай этого, Тим — он будет сниться тебе ночью, но только если ты потратишь более 300 фунтов и воспользуешься скидкой 15 %, которую он отправил на прошлой неделе.",Не суицидный пост
"@VrouwHolle оу, я горжусь тем, что отвечаю тебе первым и что я взял на себя твои обновления, ха-ха",Не суицидный пост
"любит солнце, но расстроена, что не может пойти на пикник в четверг",Не суицидный пост
С днем ​​рождения @paul_lander!,Не суицидный пост
"пожалуйста, кто-нибудь, придите, убей меня, я так ЛЮБЛЮ!!!!! https://t.co/e13ilxL9XJ",Пост о потенциальном самоубийстве
Я устал жить в мире,Пост о потенциальном самоубийстве
"RT @shelbypie24: Я увидела на Pinterest цитату, в которой говорилось: «Когда я предстану перед Богом в конце своей жизни, я надеюсь, что у меня не будет ни единого биения…",Пост о потенциальном самоубийстве
"@balsamicth Я не смог тебя ударить? Я ненавижу, когда это происходит. Я ненавижу себя, когда делаю это. Но я делаю это постоянно. https://t.co/WZwSi1OKCm",Пост о потенциальном самоубийстве
http://twitpic.com/2ydri – Мне так нравится мое великолепное рабочее место,Не суицидный пост
@Jeicky_the_cat @skwi69 Спасибо,Не суицидный пост
@ddlovato здесь 15:55 ДОБРОЕ УТРО!,Не суицидный пост
"я не в безопасности с самим собой, я уже некоторое время был склонен к суициду. Я предпринял 4 попытки в этом году, но, похоже, никто этого не понял. Честно говоря, я не могу сказать, собираюсь ли я покончить с собой сегодня, я продолжаю плакать и не знаю, почему я ненавижу себя",Пост о потенциальном самоубийстве
"Я стал намного счастливее и счастливее. лучше без тебя, слабый, фальшивый отстой ð оставь меня в покое, ты мне всё равно не нужен #bigslime ð ",Пост о потенциальном самоубийстве
@JennW Спасибо!,Не суицидный пост
"@adoredesalon ЧТО? Вам просто необходимо разместить это на сайте. Знаете, потому что мы, блоггеры, ОБОЖАЕМ бесплатный Wi-Fi! Потрясающий.",Не суицидный пост
"@NanaRaine, думаю, так и есть, но не совсем близко",Не суицидный пост
"@bobbyllew Это могло быть неловко! По крайней мере, вы вспомнили об этом сегодня, а не об этом завтра! Маленькие милости!",Не суицидный пост
"RT @LSUBonnette: У меня было предчувствие, что это будет отличный день, и я встретился с Джоном Стоктоном перед игрой.",Не суицидный пост
"@Shesouldeep, да, я тоже",Не суицидный пост
@kissability Я сейчас слушаю Шопена в темноте,Не суицидный пост
"Каждый раз, когда в последнее время мне снится мама, такое ощущение, будто она еще жива и никогда не уходила ð³, но опять же… https://t.co/fgV1SvUvkO",Пост о потенциальном самоубийстве
"RT @AprilMaeJackson: R.I.P @xxxtentacion Я мало что о тебе знал, но ты выручал в трудные времена, ты не заслуживал смерти в такую…",Пост о потенциальном самоубийстве
"в этот момент я ненавижу чувства, я думаю, что цепляюсь за жизнь, ожидая подходящего стечения обстоятельств, чтобы просто отпустить мои чувства, которые продолжают сдерживать меня, я ненавижу их, я ненавижу чувствовать, что ненавижу каждого из них, в этом есть что-то утешающее идея несуществования что-то успокаивающее в идее ничего, я жажду этого",Пост о потенциальном самоубийстве
"извините людей, которые не токсичны и хотят дружить.",Пост о потенциальном самоубийстве
"@Sassy1inVegas НП? Ржу не могу. хммм, Дэнни и Джордан присоединятся? Дэнни, возможно, Джордан, я надеюсь, что нет.",Не суицидный пост
"кодеин ативан лекарства от сна алкоголь скажи мне, почему мне не следует этого делать, я безнадежен, я готов сдаться",Пост о потенциальном самоубийстве
"я собираюсь покончить с собой на этих выходных я не вижу смысла оставаться в живых ничего не изменилось настолько, чтобы заставить меня захотеть остаться меня изнасиловали в детстве и теперь для людей я являюсь только сексуальным объектом, всем пока",Пост о потенциальном самоубийстве
влюбился,Не суицидный пост
"RT @rcromwell4: Если люди не хотят твоей смерти, можешь ли ты вообще утверждать, что действительно жив?",Пост о потенциальном самоубийстве
я хочу стать бизнесменом в будущем,Не суицидный пост
"мафумафу: «О ЧЁРТ, О БОЖЕ» *с трудом хватает всё, что не взял с собой*…",Пост о потенциальном самоубийстве
"@pjgariel Да, здесь все еще холодно, но на этой неделе температура должна вернуться к нормальной. На этой неделе проведу немного времени с девчонками!",Не суицидный пост
Вторник в великом мегаполисе Ганновере... что может быть лучше,Не суицидный пост
Длинный. Жить. Жизнь,Не суицидный пост
"RT @HelmanDC: Я знаю, ты думаешь, что тебе грустно, что «Ковбои» сегодня не играют. Но любой день, когда ваша команда не может проиграть, — это событие, которое стоит отпраздновать.",Не суицидный пост
"@annaarco Я набрала вес. Я одна из тех людей, которых все ненавидят, которые могут похудеть на диете из тортов и печенья.",Не суицидный пост
"@earsn, мой ребенок уже устал.",Не суицидный пост
"@aussie_ali @heidiheartshugs зубная паста??? Если вы используете отбеливающее средство, отбеливатель сожжет слой кожи.",Не суицидный пост
"@aylush, во-первых, спасибо, во-вторых, кайт-раннер исторически не работает?",Не суицидный пост
"ЭТО ОТСТОЙ, ЧЕЛОВЕК, Я ДЕЙСТВИТЕЛЬНО НЕ ЗНАЮ, ЧТО Я СОБИРАЮСЬ БОЛЬШЕ ДЕЛАТЬ НЕОБЫЧНЫЕ РЕШЕНИЯ ПОСЛЕ опрометчивых решений. НИКАКОГО КОНТРОЛЯ… https://t.co/sqvNu2Rxs6",Пост о потенциальном самоубийстве
"я просто в беспорядке, у меня кончились лекарства, и у меня не было ни сил, ни энергии, чтобы их пополнить. Я сегодня ходил на занятия, а в итоге сидел на тротуаре, ужасно плакал и заставлял людей думать, что я чертов сумасшедший, все, что я делаю, это сплю и я никогда не чувствую себя отдохнувшим, я один в новом городе, и у меня нет друзей, и все, что я хочу, это кто-то посидеть со мной и поговорить, я зависаю там, потому что я привел своих кошек сюда, в это странное место, и я не могу просто уйти им думать, что их бросили я только что вздремнул три часа, и все, что у меня было, это головная боль, и я все еще устал, у меня нет чистого белья, моя комната - полный пиздец, я несколько дней не причесывался и не ел, и вместо того, чтобы делать то, что нужно, я лежу здесь, пытаясь избежать навязчивости Мысли о причинении себе вреда, я ленив и ужасен, и я не могу заставить себя остановить это",Пост о потенциальном самоубийстве
"Сегодня днём мы с Майки приедем домой в восторге от медведей, а завтра Элтон Тауэрс.",Не суицидный пост
"Я посмотрел две серии «Ривердейла» и чертовски ненавижу себя, потому что теперь у меня нет данных ððð",Пост о потенциальном самоубийстве
"@tweetie ну, это впечатляет. Оба места 25 и 26 http://twitpic.com/2yabd",Не суицидный пост
я так устал жить,Пост о потенциальном самоубийстве
"Завтра мне нужно пойти в банк и посмотреть, что, черт возьми, происходит. Около 3 недель назад у меня были проблемы с би… https://t.co/I0WIPHXt5u",Пост о потенциальном самоубийстве
"@therealnph да, классные книжные полки. У меня есть та, на которой к стене приколоты разные книги.",Не суицидный пост
#cflsc1 хватит бесстыдной книжной затычки,Не суицидный пост
#VALUE!,Пост о потенциальном самоубийстве
"почему я так легко привязываюсь, это единственное, что я ненавижу в себе больше всего, в конечном итоге я все время становлюсь своим злейшим врагом",Пост о потенциальном самоубийстве
"@betchbelleza,,RT @jaemverse: я просто не хочу больше здесь находиться",Пост о потенциальном самоубийстве
"спасибо @Posh_Totty, по какой-то причине не могу дождаться, чтобы вернуться домой с работы сегодня вечером",Не суицидный пост
Вредные привычки труднее выявить в вашей трудовой жизни. #карьерное вдохновение #карьерный рост #привычки,Не суицидный пост
"с другой стороны, почти каникулы.... кемпинг D: D: D:",Не суицидный пост
Устал от всего. Не могу дождаться смерти.,Пост о потенциальном самоубийстве
"беспокойство о здоровье, вызывающее плохие мысли в голове. Я уже 2 месяца страдаю от некоторых проблем со здоровьем, будучи 26-летним мужчиной, мой пессимистичный характер просто заставляет меня думать о худшем, мои руки и ноги в настоящее время покалывают и жгут, я просто продолжаю представлять я нахожусь в инвалидной коляске, являюсь обузой для моей семьи, подруги и так далее. Мне в голову приходят мысли о самоубийстве, поскольку я предпочитаю внезапно положить всему конец, вместо того, чтобы день за днем ​​ухудшаться, теряя двигательные и когнитивные функции, жизнь и так тяжела, и сейчас мое здоровье впервые ухудшается",Пост о потенциальном самоубийстве
ДЭНИЭЛ ПОБЕДИЛ!,Пост о потенциальном самоубийстве
"@brightlydusted друг, которого я знал онлайн вчера вечером, наконец-то добавил меня в свой мессенджер.",Не суицидный пост
"@btchtits,Левен, Шотландия, больше не хочу здесь находиться",Пост о потенциальном самоубийстве
"@agpublic, ты видел эту ссылку? Я думаю, тебе это может понравиться http://bit.ly/Mr2jY",Не суицидный пост
"Жил-был молодой человек, которому надоело оставаться в этом мире. Они назвали это живым миром, но он не платит… https://t.co/oGrCQipO0Z",Пост о потенциальном самоубийстве
пациент: я ненавижу себя и хочу умереть,Пост о потенциальном самоубийстве
@davethackeray лол! Вы это видели? Ха-ха-ха... это был веселый день исследований и экспериментов!,Не суицидный пост
@michaelgrainger @Scyranth *хихикаетсссс* Ты будешь потрясающим соусом,Не суицидный пост
ПОРЕЗЬ МОЕ ЗАПЯСТЬЕ И ЗАКРАСИТЬ ГЛАЗА,Пост о потенциальном самоубийстве
"RT @rikis_e: раз уж мы говорим о нем, эй, помнишь, когда YandereDev сказал, что умственно отсталые люди заслуживают смерти, играл в RapeL…",Пост о потенциальном самоубийстве
"Я никогда не знал, что смерть моего дедушки ð´ð¾ так тяжело отразилась на моей матери, как и на мне, наверное, я думал, что она… https://t.co/WYgCqINw4O",Пост о потенциальном самоубийстве
"RT @mjs03093641: Твиты — это реальная жизнь, неловкое начало разговора между незнакомцами.",Пост о потенциальном самоубийстве
Ем вафли Эда со сливочно-мороженым и шоколадным соусом. ОМГОШ потрясающе!!!!,Не суицидный пост
"вау, мне так грустно, что я все распланировал, когда собирался уйти из дома и amp; пойди в колледж в Денвере... и йо... https://t.co/rXS5MlxBqf",Пост о потенциальном самоубийстве
@snigdha ты ждешь?,Не суицидный пост
"сколько раз мне нужно оказаться в таком положении, чтобы моя чертова мать поняла, что если я останусь здесь, то либо погибну… https://t.co/lBQ8hoeHC2",Пост о потенциальном самоубийстве
хотел убить его.,Не суицидный пост
"@zephrode @julouille3 Comme je le dis si bien ""позволь мне ненавидеть себя, черт возьми""",Пост о потенциальном самоубийстве
"Привет, люди на Facebook. Вам нравится, как я рассылаю спам во все ваши новостные ленты в Твиттере?",Не суицидный пост
"@bcuban @Popehat Не юрист, но мне поставили диагноз «депрессия», когда мне было 12–13 лет. Мой брат ругался повсюду… https://t.co/eMWrR6PBWh",Пост о потенциальном самоубийстве
"Проиграть худшей команде лиги, пока они носят это, — вот что будет в моей предсмертной записке https://t.co/pFrF1Iol4a",Пост о потенциальном самоубийстве
"может быть, я думаю, что заслуживаю смерти",Пост о потенциальном самоубийстве
"я не умею притворяться, что со мной все в порядке, поэтому я выгляжу как дерьмо, я не улыбаюсь, у меня все еще есть прыщи, мне 19, у меня черные круги под глазами, и у меня очень бледная кожа, потому что я никогда не выхожу из дома, только когда иду в школу поэтому люди смотрят на меня каждый день, некоторые указывают на меня пальцем и просто смеются, некоторые смотрят на меня с отвращением, а некоторые просто говорят мне, что я уродлив или что я выгляжу как гребаный наркоман, я в такой чертовой депрессии из-за многих других причины, но я думаю, это самое худшее, у меня также есть социальная тревога, поэтому у меня нет друзей, и у меня никогда не было подруги, когда я пытаюсь поговорить с кем-то, я просто краснею, и это так неловко, я уже пытался покончить жизнь самоубийством в прошлом месяце, и мне все еще кажется, что дерьмо",Пост о потенциальном самоубийстве
"Если вы устали жить ради 1-го и 15-го числа и вам НУЖНО что-то сделать НЕМЕДЛЕННО... например, когда ваш обычный дезодор... https://t.co/6xpv0nBVua",Пост о потенциальном самоубийстве
"Я хочу, чтобы ты пришел домой сразу после школы.",Не суицидный пост
"@hellomonette,buk - ладно, я больше не хочу здесь находиться",Пост о потенциальном самоубийстве
RT @EekrawK: Это моя невестка Сана слева и она справа. Приятно нанять членов своей семьи и создать конфликт…,Не суицидный пост
"в долгах я убью себя в четверг я собираюсь ударить себя ножом в живот или принять много таблеток я не уверен, что делать, но извините за орфографию и грамматику я уверен, что всем здесь все равно",Пост о потенциальном самоубийстве
@whiskymac1746 И тебе доброго дня,Не суицидный пост
"Сегодня я чуть не покончил с собой, потому что меня чуть не сбила машина.",Не суицидный пост
"Всегда приятно услышать мнение актеров, которых я режиссировал! Пытаюсь побудить их присоединиться к Твиттеру!",Не суицидный пост
@ШеннонРене,Не суицидный пост
Я хочу пойти в парк.,Не суицидный пост
Последние несколько часов в Англии...,Не суицидный пост
"@mcherrywv приятно, это правда, спасибо, ребята, V8, вы лучшие!!!",Не суицидный пост
"на самом деле, у скольких людей он хочет это вырвать?",Не суицидный пост
"Я ОБОЖАЮ спать, пока не закончу!",Не суицидный пост
"@spindlestudios Да, она исключительно талантливая курица, которая работает на вас! И, Бриозо, ну, ты просто не поймешь.",Не суицидный пост
все следуют за Кейдом,Не суицидный пост
"@GlamLifeGuru О боже!!!! Происходят пожары и безумие, и из-за этого ты не можешь вернуться домой, а люди серьезно… https://t.co/TFVjk6d2m7",Пост о потенциальном самоубийстве
@олимулд Льюис,Не суицидный пост
"честно говоря, я так устал от всего и от себя, может, я уже умру",Пост о потенциальном самоубийстве
"@luvmandy384 Мне сейчас, через... хм... 2 УУУУУ!",Не суицидный пост
Женщины будут в дурке и будут винить в этом ниггера... вы все должны взять на себя ответственность... https://t.co/7JIY10zPEG,Пост о потенциальном самоубийстве
"я чертовски хочу умереть, я так устал постоянно чувствовать боль, Боже, меня нужно оставить в покое, плакать и валяться в своих страданиях, пока мне не станет лучше",Пост о потенциальном самоубийстве
"я не говорю людям, что я чувствую, потому что я почти уверен, что никто не заботится обо мне, даже когда я пишу, это вызывает у меня тревогу, потому что я знаю, что мне приходится общаться с людьми, мне просто хотелось бы плакать, пока я засыпаю, и никогда не проснуться, никто бы по-настоящему не скучал мне",Пост о потенциальном самоубийстве
"Сейчас играю J. Gardna ft 2 Pistols, Tone Trump &amp; Drop - Die Alone (Remix) (Dirty) на Street Style Radio",Пост о потенциальном самоубийстве
Время спать!,Не суицидный пост
"Если кому-то из вас скучна Пасха, пришлите мне сообщение в MSN. Я люблю общаться с людьми. Мой MSN: ninaalbertsen@gmail.com.",Не суицидный пост
"Вы ДЕЙСТВИТЕЛЬНО знаете, что у вас нет абсолютно никакой власти... пока. И когда вы это сделаете, все это будет мертво и забыто. https://t.co/eZRhCl3IWc",Пост о потенциальном самоубийстве
"RT @normanilovato97: почему с каждым днем ​​я ненавижу свою жизнь все больше и больше, я действительно чувствую, что мне суждено быть несчастным навсегда",Пост о потенциальном самоубийстве
"детский сад чертовски дорогой. и единственная причина, по которой я получаю скидку, это то, что владелец знает мою тетю. но… https://t.co/6Ml25B4CYE",Пост о потенциальном самоубийстве
"Разве не грустно, что, увидев пожарную машину перед зданием, моей первой мыслью было посмотреть вверх, вдруг кто-нибудь… https://t.co/Ro8dAw5j0N",Пост о потенциальном самоубийстве
хахаха как все?,Не суицидный пост
Только проснулся... Всем доброе утро!,Не суицидный пост
"я больше не могу этого делать, у меня нет надежды, я учусь на последнем курсе колледжа и просто хочу умереть, я не вписываюсь и чувствую, что никто не заботится обо мне каждый день, я просыпаюсь и пытаюсь сказать себе, что сегодня новый день но это не работает, я ненавижу все в себе и чувствую себя таким одиноким, у меня никого нет, мне все равно, как я выгляжу, и я даже не хочу вставать по утрам, я просто хочу покончить со всем этим, положить конец всем страданиям и боль, я просто хочу ничего не чувствовать из-за своего беспокойства и депрессии оставить меня в покое, я не знаю, куда обратиться, но я просто не могу больше так продолжать",Пост о потенциальном самоубийстве
"@gilloux Надеюсь, ты планируешь вечеринку по случаю открытия питомника",Не суицидный пост
"@TylersDunflower,Тренч,я не чувствую себя счастливым",Пост о потенциальном самоубийстве
"Жить ярым эмпатом очень сложно. Я устал быть хорошим и вкладывать эмоциональный труд в тех, кто этого не заслуживает.",Пост о потенциальном самоубийстве
"@Allanahk, но 26 символов? Твой последний твит не попал бы в топ...",Не суицидный пост
"@TheLoneDude1,Соединенные Штаты,Почему сейчас всё такое злокачественное. Как будто я уже даже не могу вспомнить, всегда ли здесь была вся эта корпоративная чушь или нет, но это чертовски глупо. Я просто хочу посмотреть видео на YouTube, я не хочу, чтобы каждый раз, когда я выхожу в Интернет, меня насильно кормили дурацким продуктом, например, кабельным телевидением.",Пост о потенциальном самоубийстве
"пожалуйста, простите меня, я пытался получить помощь, я не знаю, что еще сказать, я устал быть обузой для всех остальных, я устал от того, что все списывают меня со счетов, я не могу помочь, кто я, и я пытался получить помощь, у меня есть план и через несколько недель я перестану быть частью этого мира",Пост о потенциальном самоубийстве
"я чувствую, что мое время скоро придет, как будто у меня заканчивается время, с меня достаточно, и я готов прекратить это, я уже пытался, но на этот раз я не могу позволить себе потерпеть неудачу, у меня есть много разных таблеток и других способов, которыми я могу положить этому конец мне просто нужно выяснить лучшее время, может быть, сегодня вечером, может быть, завтра, кто знает",Пост о потенциальном самоубийстве
"я больше не знаю, эти 4 слова превращают мою жизнь в ад, кому бы я это ни сказал, из-за внезапного отсутствия счастья я знаю только печаль, мне не на что рассчитывать, потому что я упустил свои шансы даже на что-то приличное, нет работы, нет девушки, и мне абсолютно нечего мотивировать на данный момент, я даже не знаю, почему я все еще жив, мне больно, что я жив",Пост о потенциальном самоубийстве
"У нас был хороший обед, и теперь можно поработать.",Не суицидный пост
@Fran6 спасибо,Не суицидный пост
"Я работаю со многими русскими в офисе SoCal, и они выглядят совершенно несчастными. Всякий раз, когда я их вижу… https://t.co/f3hfTkoc4E",Пост о потенциальном самоубийстве
"Привет, мир!!! Это мой первый твит",Не суицидный пост
@Pete_Brown Это то и дело,Не суицидный пост
она хочет убить его.,Не суицидный пост
"«Самоубийство теперь стало моим новым миром, и я отчаянно ищу ответы. Потому что тем, кто его знал, лучше… https://t.co/l2nYZIdS7k",Пост о потенциальном самоубийстве
"Были ли у кого-нибудь успешные истории в Твиттере? Если да, то мне бы хотелось услышать вашу историю. Напишите мне в личку",Не суицидный пост
"Это потрясающе, я верю, что вы все завидуете. Но я вроде как не хочу идти на танцы сегодня вечером. Меня отвезет кто-нибудь еще?",Не суицидный пост
@sixers получили лучшую команду на востоке. @warriors против @sixers в чипе.,Не суицидный пост
"смотрит свои старые вещи на Youtube... ааа, воспоминания",Не суицидный пост
"Я знаю, что не могу получить от жизни все, что хочу, но когда мне захочется хотя бы поправить рот, чтобы сказать… https://t.co/teGorYjZWQ",Пост о потенциальном самоубийстве
"@slydevil, черт возьми, я как бы ненавижу себя за то, что у меня нет системы, на которую можно было бы положиться... быть бедным - отстой",Пост о потенциальном самоубийстве
"скоро я буду на .ro, спасибо блогвею и CNSC",Не суицидный пост
"Короткое видео @edwinksl Стэнфордского саммита 2008 года http://www.youtube.com/watch?v=YAxcVIJu-XQ . Вспоминая волшебную, фантастическую поездку на американских горках.",Не суицидный пост
"Когда я учился в средней школе, я хотел быть эмо, не судите строго.",Пост о потенциальном самоубийстве
с днем ​​рождения!,Не суицидный пост
"О боже мой, если то, что Джим Акоста сделал с этой женщиной, было чертовски жестоким обращением, ЧТО ВЫ ДУМАЕТЕ, ЧТО ТРАМП СДЕЛАЛ С ГРЕБАНЫМИ ЖЕНЩИНАМИ… https://t.co/U1eFGgIyuy",Пост о потенциальном самоубийстве
"я недавно вышла замуж, и мой муж замечательный, я так сильно его люблю, мы очень сильно влюблены, так почему я склонен к суициду, честно говоря, не могу понять этого 9 дней из 10, я в полном порядке, счастлив, позитивен, воодушевлен жизнью, а потом меня охватывает депрессия парализующее беспокойство мысли о самоубийстве я режу, плачу, в такие дни я рассыпаюсь, я не могу поверить, что кто-то вообще заботится обо мне, кроме моего мужа, тогда я чувствую, что не заслуживаю его, и иногда отталкиваю его, что со мной не так, что мне делать, я просто не могу отделаться от мысли, что всем будет лучше без меня, особенно моему мужу",Пост о потенциальном самоубийстве
@khalidh на данном этапе в расписании до BlogWorld Expo ничего нет — пусть даже нетбук поедет»,Не суицидный пост
спасибо #Aylesbury #Audi за очень быстрое обслуживание по установке новых блестящих номерных знаков.,Не суицидный пост
"мне кажется, что всем плевать, я просто хочу умереть, может быть, тогда я буду чувствовать себя менее одиноким",Пост о потенциальном самоубийстве
"Сегодня, год назад, я потерял соседа и друга в результате #самоубийства. Итак, вот цитата, которая помогла мне пережить мои худшие времена… https://t.co/a83mtDdWsA",Пост о потенциальном самоубийстве
HootSuite монетизирует Твиттер – наверняка это ошибка? http://ow.ly/2g0Y,Не суицидный пост
"Мне жаль моих 64 подписчиков, потому что мои посты, наверное, занимают всю их страницу.",Не суицидный пост
"@TinaCook Доброе утро, Тина, дело в том, что мы что-нибудь с этим сделаем. Разве не было бы здорово, если бы это было что-то БОЛЬШОЕ?",Не суицидный пост
"Ух ты! Только что вернулся с моего самого длинного забега без остановок - 14 миль. Теперь я по-настоящему знаю, что такое боль в ногах! хотя в восторге",Не суицидный пост
"@JasonStatham1 Привет, Джейсон. Пока что Twitter сегодня великолепен. Спасибо, что нашли минутку для нас. Наслаждайтесь плаванием. Обнимаю, Ангел",Не суицидный пост
"Но его кровь течет в моем инструменте, и его песня… https://t.co/vKSEal470M",Пост о потенциальном самоубийстве
@miceyway Мне нравится,Не суицидный пост
Устали жить этой жизнью,Пост о потенциальном самоубийстве
Она хочет быть врачом,Не суицидный пост
"Доброе утро, @mirandaanzures.... До Лапши всего около восьми часов.... Единственный положительный момент, о котором я могу сейчас подумать",Не суицидный пост
Это будет прекрасный день – у меня будет новая внучка!,Не суицидный пост
"вы, ребята, злые, я бы никогда не разбудил своих друзей",Пост о потенциальном самоубийстве
"Меш мом, я просто хотел, чтобы ты знал, что ты самый мягкий человек в моей несчастной жизни – О, это мило",Пост о потенциальном самоубийстве
"ИСЧЕЗЫВАЕШЬСЯ, КОГДА ПРОСНУШЬСЯ, НО НЕЧЕГО БОЙСЯ, ДАЖЕ КОГДА НОЧЬ ПЕРЕМЕНИТСЯ, ЭТО НИКОГДА НЕ ИЗМЕНИТ МЕНЯ И ВАС.",Пост о потенциальном самоубийстве
"Так устал жить с этими нигерами... осталось всего 2,5 месяца.",Пост о потенциальном самоубийстве
"@vespertitties, Боже, убей меня буквально просто. блядь, повесь меня, зарежь меня, сожги меня заживо",Пост о потенциальном самоубийстве
@tommcfly горячий шоколад xx,Не суицидный пост
"Какое прекрасное чувство, и я никогда не сдавался, молодец @67Shakey @BeWiser сохранял хладнокровие все выходные. #возраст ничего не значит https://t.co/GDFHwwsk2s",Не суицидный пост
"@aprilmcvey, почему бы тебе не обновить что-нибудь, мама! БЛАГОСЛОВЕННОГО ДНЯ!",Не суицидный пост
"изменил своей подруге в нетрезвом виде, и теперь я хочу покончить с собой, не знал, что делаю, был в дерьме пьян, и теперь я совсем один, без подруги, и мои друзья ненавидят меня за измену, я больше не хочу чувствовать боль",Пост о потенциальном самоубийстве
"Когда кто-то хочет твоей любви, твоей страсти, твоего сердца и твоей души... Чтобы вернуть все это в должной мере... Это величайший дар из всех.",Не суицидный пост
"@mint69, чувак, это работает! как прелесть, будьте готовы написать в Твиттере мою ленту! некоторые интересные люди, за которыми можно подписаться, если вы их найдете",Не суицидный пост
RT @BreakfastNews: «Без ABC регион Австралии был бы Сибирью»,Не суицидный пост
"Кто, черт возьми, теряет свои проклятые ключи? Я ненавижу себя ð¤¦ð¼ââï¸",Пост о потенциальном самоубийстве
"я хочу умереть, пожалуйста, я устал от всего",Пост о потенциальном самоубийстве
"@DonalMacIntyre, привет, ты был великолепен в DOI, я собираюсь в тур, не могу дождаться!! ххх",Не суицидный пост
"@DanceMassTV Спасибо! Это просто то, что я думаю.",Не суицидный пост
"@alonpeer 10x чувак, есть какие-нибудь советы или идеи?",Не суицидный пост
я хочу быть инженером.,Не суицидный пост
"Я хочу побыть на солнышке, прогуляться по пляжу с Джоуи.",Не суицидный пост
"я сексуально домогался своего возлюбленного, я чувствую, что для меня нет места в мире уже давно, около полугода, я прикасаюсь к своему возлюбленному, который не интересуется мной без согласия, я работаю вместе с ним, и мы оба являемся частью очень тесная группа друзей, поэтому ему приходится видеть меня каждый день, и каждый раз, когда я пытаюсь прикоснуться к нему, смотрю на него, а иногда даже фотографирую его, только недавно я осознал последствия того, что я сделал, и что мне больно его, у меня такое чувство, будто я предал его и себя за то, что я сделал что-то, что полностью противоречит всем моим ценностям, я хочу измениться и знаю, что могу, но боюсь, что потеряю волю к жизни, если не смогу заставить себя перестать прикасаться к нему",Пост о потенциальном самоубийстве
